Player	Team	Age
Jordan Dawson	Adelaide	29
Rory Laird	Adelaide	32
Reilly O'Brien	Adelaide	31
Izak Rankine	Adelaide	26
Riley Thilthorpe	Adelaide	24
Jake Soligo	Adelaide	23
Ben Keays	Adelaide	29
James Peatling	Adelaide	26
Josh Worrell	Adelaide	25
Lachlan Sholl	Adelaide	26
Wayne Milera	Adelaide	28
Alex Neal-Bullen	Adelaide	30
Mitchell Hinge	Adelaide	28
Daniel Curtin	Adelaide	21
Callum Ah Chee	Adelaide	28
Josh Rachele	Adelaide	23
Sam Berry	Adelaide	24
Taylor Walker	Adelaide	36
Isaac Cumming	Adelaide	28
Darcy Fogarty	Adelaide	26
Luke Nankervis	Adelaide	23
Mark Keane	Adelaide	26
Max Michalanney	Adelaide	22
Chayce Jones	Adelaide	26
Billy Dowling	Adelaide	22
Luke Pedlar	Adelaide	24
Zac Taylor	Adelaide	23
Nick Murray	Adelaide	25
James Borlase	Adelaide	24
Brayden Cook	Adelaide	24
Finnbar Maley	Adelaide	23
Hugh Bond	Adelaide	21
Sid Draper	Adelaide	20
Lachlan McAndrew	Adelaide	26
Jordon Butts	Adelaide	26
Mitchell Marsh	Adelaide	19
Oscar Ryan	Adelaide	21
Charlie Edwards	Adelaide	21
Toby Murray	Adelaide	22
Indy Cotton	Adelaide	19
Tyler Welsh	Adelaide	20
Archie Ludowyke	Adelaide	18
Hugo Hall-Kahan	Adelaide	22
Josh Dunkley	Brisbane	29
Hugh McCluggage	Brisbane	28
Dayne Zorko	Brisbane	37
Will Ashcroft	Brisbane	22
Lachie Neale	Brisbane	33
Jarrod Berry	Brisbane	28
Zac Bailey	Brisbane	26
Jaspa Fletcher	Brisbane	22
Darcy Wilmot	Brisbane	22
Levi Ashcroft	Brisbane	19
Cameron Rayner	Brisbane	26
Sam Draper	Brisbane	27
Darcy Fort	Brisbane	33
Harris Andrews	Brisbane	29
Noah Answerth	Brisbane	27
Logan Morris	Brisbane	21
Ryan Lester	Brisbane	34
Eric Hipwood	Brisbane	28
Jack Payne	Brisbane	26
Keidean Coleman	Brisbane	26
Charlie Cameron	Brisbane	32
Conor McKenna	Brisbane	30
Oscar Allen	Brisbane	27
Kai Lohmann	Brisbane	23
Bruce Reville	Brisbane	25
Lincoln McCarthy	Brisbane	32
Sam Marshall	Brisbane	20
Darcy Gardiner	Brisbane	30
Tom Doedee	Brisbane	29
Darragh Joyce	Brisbane	29
Henry Smith	Brisbane	23
Daniel Annable	Brisbane	19
Shadeau Brain	Brisbane	22
Ty Gallop	Brisbane	20
James Tunstill	Brisbane	23
Zane Zakostelsky	Brisbane	20
Will McLachlan	Brisbane	21
Luke Lloyd	Brisbane	21
Cody Curtin	Brisbane	19
Luke Beecken	Brisbane	25
Reece Torrent	Brisbane	21
Koby Evans	Brisbane	18
Tai Hayes	Brisbane	21
George Hewett	Carlton	30
Adam Cerra	Carlton	26
Sam Walsh	Carlton	26
Patrick Cripps	Carlton	31
Harry McKay	Carlton	28
Oliver Hollands	Carlton	22
Nick Haynes	Carlton	34
Blake Acres	Carlton	30
Nic Newman	Carlton	33
Adam Saad	Carlton	32
Marc Pittonet	Carlton	30
Lachlan Cowan	Carlton	21
Mitch McGovern	Carlton	31
Jacob Weitering	Carlton	28
Zachary Williams	Carlton	31
Cooper Lord	Carlton	21
Oliver Florent	Carlton	28
Francis Evans	Carlton	25
Ben Ainsworth	Carlton	28
Matt Cottrell	Carlton	26
Brodie Kemp	Carlton	25
Will Hayward	Carlton	27
Lachlan Fogarty	Carlton	27
Campbell Chesser	Carlton	23
Jesse Motlop	Carlton	22
Matt Carroll	Carlton	20
Lewis Young	Carlton	27
Jordan Boyd	Carlton	27
Flynn Young	Carlton	24
Harry O'Farrell	Carlton	20
Ashton Moir	Carlton	21
Billy Wilson	Carlton	21
Liam Reidy	Carlton	26
Lucas Camporeale	Carlton	20
Harry Dean	Carlton	18
Hudson O'Keeffe	Carlton	21
Matt Duffy	Carlton	22
Harry Charleson	Carlton	20
Rob Monahan	Carlton	22
Jagga Smith	Carlton	20
Ben Camporeale	Carlton	20
Jack Ison	Carlton	19
Talor Byrne	Carlton	18
Wade Derksen	Carlton	25
Elijah Hollands	Carlton	24
Flynn Riley	Carlton	22
Nick Daicos	Collingwood	23
Darcy Cameron	Collingwood	31
Josh Daicos	Collingwood	27
Scott Pendlebury	Collingwood	38
Steele Sidebottom	Collingwood	35
Jack Crisp	Collingwood	32
Jordan De Goey	Collingwood	30
Ned Long	Collingwood	23
Lachlan Schultz	Collingwood	28
Jamie Elliott	Collingwood	34
Patrick Lipinski	Collingwood	28
Dan Houston	Collingwood	29
Brayden Maynard	Collingwood	29
Harry Perryman	Collingwood	27
Isaac Quaynor	Collingwood	26
Daniel McStay	Collingwood	31
Beau McCreery	Collingwood	25
Jeremy Howe	Collingwood	36
Tim Membrey	Collingwood	32
Edward Allan	Collingwood	22
Bobby Hill	Collingwood	26
Jack Buller	Collingwood	25
Darcy Moore	Collingwood	30
Lachie Sullivan	Collingwood	28
Billy Frampton	Collingwood	29
Roan Steele	Collingwood	24
Will Hayes	Collingwood	20
Wil Parker	Collingwood	24
Harvey Harrison	Collingwood	22
Reef McInnes	Collingwood	23
Jakob Ryan	Collingwood	21
Joel Cochran	Collingwood	20
Tew Jiath	Collingwood	21
Charlie West	Collingwood	20
Jai Saxena	Collingwood	19
Noah Howes	Collingwood	20
Angus Anderson	Collingwood	23
Harry DeMattia	Collingwood	20
Samuel Swadling	Collingwood	19
Tyan Prindable	Collingwood	19
Iliro Smit	Collingwood	21
Oscar Steene	Collingwood	23
Zac McCarthy	Collingwood	18
Harrison Coe	Collingwood	26
Liam Puncher	Collingwood	23
Mitch Podhajski	Collingwood	27
Jye Caldwell	Essendon	25
Zachary Merrett	Essendon	30
Nic Martin	Essendon	25
Archie Roberts	Essendon	20
Mason Redman	Essendon	29
Brayden Fiorini	Essendon	29
Xavier Duursma	Essendon	26
Sam Durham	Essendon	25
Zach Reid	Essendon	24
Andrew McGrath	Essendon	28
Peter Wright	Essendon	29
Darcy Parish	Essendon	29
Kyle Langford	Essendon	29
Jordan Ridley	Essendon	27
Jaxon Prior	Essendon	25
Angus Clarke	Essendon	20
Nick Bryan	Essendon	24
Archie Perkins	Essendon	24
Jade Gresham	Essendon	29
Nate Caddy	Essendon	21
Harrison Jones	Essendon	25
