Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Lachlan McAndrew	ADE	511	76%	68%	-	81%	77%	77%	62%	82%	84%	68%	85%	78%	63%	87%	-	76%	81%	78%	79%	83%	59%	67%	80%	86%	-	85%	67%
Sam Berry	ADE	440	69%	-	-	74%	71%	86%	65%	76%	68%	85%	77%	70%	72%	61%	-	76%	71%	61%	57%	70%	62%	67%	67%	-	58%	61%	74%
Jordan Dawson	ADE	414	68%	64%	-	70%	71%	-	65%	76%	-	29%	-	33%	63%	74%	-	64%	68%	87%	82%	80%	62%	70%	70%	72%	79%	85%	65%
Reilly O'Brien	ADE	26	61%	-	-	-	-	-	38%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84%	-	-
Izak Rankine	ADE	347	59%	-	-	-	32%	5%	19%	27%	10%	41%	73%	74%	78%	61%	-	-	-	74%	50%	87%	76%	89%	80%	75%	84%	79%	72%
Charlie Edwards	ADE	50	57%	68%	-	-	-	-	-	-	68%	35%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
James Peatling	ADE	330	56%	-	-	52%	29%	73%	65%	61%	71%	59%	65%	67%	56%	61%	-	68%	74%	70%	43%	57%	69%	67%	37%	-	21%	21%	-
Jake Soligo	ADE	176	31%	-	-	37%	52%	73%	0%	0%	-	-	65%	30%	0%	4%	-	48%	68%	9%	39%	7%	31%	7%	40%	61%	-	33%	9%
Josh Rachele	ADE	171	25%	72%	-	52%	35%	64%	65%	48%	81%	38%	19%	15%	9%	0%	-	40%	3%	0%	29%	0%	0%	0%	7%	19%	5%	0%	5%
Toby Murray	ADE	89	22%	32%	-	19%	-	-	-	-	-	21%	12%	22%	38%	9%	-	24%	19%	-	-	17%	41%	33%	10%	-	-	15%	-
Daniel Curtin	ADE	80	15%	-	-	-	-	-	-	-	-	-	0%	11%	3%	17%	-	0%	3%	0%	0%	0%	0%	0%	0%	61%	53%	21%	74%
Finnbar Maley	ADE	23	13%	-	-	-	-	23%	0%	18%	16%	12%	-	-	-	-	-	-	-	-	-	-	-	-	10%	-	-	-	-
Riley Thilthorpe	ADE	70	12%	-	-	15%	32%	0%	15%	12%	0%	12%	4%	0%	-	26%	-	-	13%	22%	21%	-	0%	0%	0%	14%	16%	0%	33%
Billy Dowling	ADE	9	9%	36%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	-	-	-	0%	0%	-	-
Chayce Jones	ADE	4	4%	16%	-	-	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
