Fixture	Venue	Time
Opening Round		
Sydney Swans vs. Carlton	SCG	19:30
Gold Coast Suns vs. Geelong Cats	People First Stadium	20:05
GWS Giants vs. Hawthorn	ENGIE Stadium	16:15
Brisbane Lions vs. Western Bulldogs	Gabba	19:35
St Kilda vs. Collingwood	MCG	19:20
Round 1		
Carlton vs. Richmond	MCG	19:30
Essendon vs. Hawthorn	MCG	19:40
Western Bulldogs vs. GWS Giants	Marvel Stadium	13:15
Geelong Cats vs. Fremantle	GMHBA Stadium	16:15
Sydney Swans vs. Brisbane Lions	SCG	19:10
Collingwood vs. Adelaide Crows	MCG	19:35
North Melbourne vs. Port Adelaide	Marvel Stadium	13:10
Melbourne vs. St Kilda	MCG	15:15
Gold Coast Suns vs. West Coast Eagles	People First Stadium	18:10
Round 2		
Hawthorn vs. Sydney Swans	MCG	19:30
Adelaide Crows vs. Western Bulldogs	Adelaide Oval	19:40
Richmond vs. Gold Coast Suns	MCG	13:15
GWS Giants vs. St Kilda	ENGIE Stadium	16:15
Fremantle vs. Melbourne	Optus Stadium	19:35
Port Adelaide vs. Essendon	Adelaide Oval	15:15
West Coast Eagles vs. North Melbourne	Optus Stadium	18:10
Round 3		
Geelong Cats vs. Adelaide Crows	GMHBA Stadium	19:30
Collingwood vs. GWS Giants	Marvel Stadium	19:40
St Kilda vs. Brisbane Lions	Marvel Stadium	12:35
Fremantle vs. Richmond	Optus Stadium	16:15
Essendon vs. North Melbourne	Marvel Stadium	19:35
Port Adelaide vs. West Coast Eagles	Adelaide Oval	12:30
Carlton vs. Melbourne	MCG	15:15
Round 4		
Brisbane Lions vs. Collingwood	Gabba	19:30
North Melbourne vs. Carlton	Marvel Stadium	15:15
Adelaide Crows vs. Fremantle	Adelaide Oval	19:15
Richmond vs. Port Adelaide	MCG	16:15
West Coast Eagles vs. Sydney Swans	OptusStadium	19:35
Melbourne vs. Gold Coast Suns	MCG	15:15
Western Bulldogs vs. Essendon	Marvel Stadium	19:20
Hawthorn vs. Geelong Cats	MCG	15:15
