PLAYER	POSITION	STARTING PRICE
CROWS		
Jordan Dawson	MID	$1,156,000
Rory Laird	DEF	$971,000
Reilly O'Brien	RUC	$953,000
Izak Rankine	MID/FWD	$915,000
Riley Thilthorpe	FWD	$870,000
Jake Soligo	MID/FWD	$868,000
Ben Keays	FWD	$831,000
James Peatling	MID	$815,000
Josh Worrell	DEF	$790,000
Lachlan Sholl	MID	$761,000
Wayne Milera	DEF	$756,000
Alex Neal-Bullen	FWD	$728,000
Mitchell Hinge	DEF	$704,000
Daniel Curtin	MID	$684,000
Callum Ah Chee	FWD	$656,000
Josh Rachele	FWD/MID	$655,000
Sam Berry	MID	$655,000
Taylor Walker	FWD	$645,000
Isaac Cumming	MID	$644,000
Darcy Fogarty	FWD	$622,000
Luke Nankervis	MID/DEF	$616,000
Mark Keane	DEF	$575,000
Max Michalanney	DEF	$575,000
Chayce Jones	MID/DEF	$533,000
Billy Dowling	MID/FWD	$522,000
Luke Pedlar	FWD	$435,000
Zac Taylor	FWD	$429,000
Nick Murray	DEF	$395,000
James Borlase	DEF	$379,000
Brayden Cook	MID/FWD	$344,000
Finnbar Maley	FWD	$341,000
Hugh Bond	DEF	$313,000
Sid Draper	MID/FWD	$307,000
Lachlan McAndrew	RUC	$286,000
Jordon Butts	DEF	$276,000
Mitchell Marsh	FWD	$266,000
Oscar Ryan	DEF	$230,000
Charlie Edwards	DEF/MID	$230,000
Toby Murray	FWD/RUC	$230,000
Indy Cotton	FWD	$230,000
Tyler Welsh	FWD	$230,000
Archie Ludowyke	FWD	$230,000
Hugo Hall-Kahan	DEF/MID	$230,000
LIONS		
Josh Dunkley	MID	$1,128,000
Hugh McCluggage	MID	$1,072,000
Dayne Zorko	DEF	$1,065,000
Will Ashcroft	MID	$1,002,000
Lachie Neale	MID	$992,000
Jarrod Berry	MID	$892,000
Zac Bailey	MID/FWD	$876,000
Jaspa Fletcher	DEF	$871,000
Darcy Wilmot	DEF	$835,000
Levi Ashcroft	MID	$781,000
Cameron Rayner	FWD	$736,000
Sam Draper	RUC/FWD	$731,000
Darcy Fort	RUC	$726,000
Harris Andrews	DEF	$653,000
Noah Answerth	DEF	$608,000
Logan Morris	FWD	$605,000
Ryan Lester	DEF	$601,000
Eric Hipwood	FWD	$576,000
Jack Payne	DEF	$569,000
Keidean Coleman	DEF	$559,000
Charlie Cameron	FWD	$559,000
Conor McKenna	FWD	$538,000
Oscar Allen	FWD	$522,000
Kai Lohmann	FWD	$486,000
Bruce Reville	MID	$461,000
Lincoln McCarthy	FWD/DEF	$452,000
Sam Marshall	MID	$439,000
Darcy Gardiner	DEF	$437,000
Tom Doedee	DEF	$360,000
Darragh Joyce	DEF	$352,000
Henry Smith	FWD	$335,000
Daniel Annable	MID	$330,000
Shadeau Brain	DEF	$275,000
Ty Gallop	FWD/DEF	$263,000
James Tunstill	MID	$254,000
Ben Murphy	DEF	$230,000
Zane Zakostelsky	DEF/RUC	$230,000
Will McLachlan	FWD	$230,000
Luke Lloyd	FWD	$230,000
Cody Curtin	FWD	$230,000
Luke Beecken	MID	$230,000
Reece Torrent	MID	$230,000
Koby Evans	MID	$230,000
Tai Hayes	MID/FWD	$230,000
BLUES		
George Hewett	MID	$1,037,000
Adam Cerra	MID	$997,000
Sam Walsh	MID	$977,000
Patrick Cripps	MID	$931,000
Harry McKay	FWD	$821,000
Oliver Hollands	DEF/MID	$799,000
Nick Haynes	DEF	$794,000
Blake Acres	MID	$773,000
Nic Newman	DEF	$753,000
Adam Saad	DEF	$703,000
Marc Pittonet	RUC	$671,000
Lachlan Cowan	DEF	$665,000
Mitch McGovern	DEF/FWD	$657,000
Jacob Weitering	DEF	$645,000
Zachary Williams	FWD/DEF	$643,000
Cooper Lord	MID	$630,000
Oliver Florent	MID/DEF	$629,000
Francis Evans	FWD	$616,000
Ben Ainsworth	FWD	$615,000
Matt Cottrell	MID/FWD	$611,000
Brodie Kemp	FWD	$594,000
Will Hayward	FWD	$585,000
Lachlan Fogarty	FWD	$584,000
Campbell Chesser	MID	$555,000
Jesse Motlop	FWD	$533,000
Matt Carroll	DEF/MID	$519,000
Lewis Young	DEF	$493,000
Jordan Boyd	DEF	$485,000
Flynn Young	FWD	$450,000
Harry O'Farrell	DEF	$434,000
Ashton Moir	FWD	$426,000
Billy Wilson	DEF	$421,000
Liam Reidy	RUC/FWD	$394,000
Lucas Camporeale	MID	$365,000
Harry Dean	DEF	$342,000
Hudson O'Keeffe	FWD/RUC	$342,000
Matt Duffy	DEF	$230,000
Harry Charleson	DEF/MID	$230,000
Rob Monahan	FWD	$230,000
Jagga Smith	MID/FWD	$230,000
Ben Camporeale	MID	$230,000
Jack Ison	MID	$230,000
Talor Byrne	MID/FWD	$230,000
Wade Derksen	DEF	$230,000
Elijah Hollands	MID/FWD	$668,000
Flynn Riley	RUC	$230,000
MAGPIES		
Nick Daicos	MID	$1,134,000
Darcy Cameron	RUC	$1,070,000
Josh Daicos	DEF	$988,000
Scott Pendlebury	MID	$908,000
Steele Sidebottom	MID	$905,000
Jack Crisp	MID	$883,000
Jordan De Goey	MID/FWD	$812,000
Ned Long	MID/FWD	$808,000
Lachlan Schultz	FWD	$804,000
Jamie Elliott	FWD	$711,000
Patrick Lipinski	MID/FWD	$702,000
Dan Houston	DEF	$701,000
Brayden Maynard	DEF	$696,000
Harry Perryman	DEF	$660,000
Isaac Quaynor	DEF	$630,000
Daniel McStay	FWD	$593,000
Beau McCreery	FWD	$568,000
Jeremy Howe	DEF	$544,000
Tim Membrey	FWD	$543,000
Edward Allan	MID	$508,000
Bobby Hill	FWD	$483,000
Jack Buller	FWD	$481,000
Darcy Moore	DEF	$466,000
Lachie Sullivan	FWD	$460,000
Billy Frampton	DEF	$445,000
Roan Steele	MID	$381,000
Will Hayes	FWD	$359,000
Wil Parker	DEF	$302,000
Harvey Harrison	FWD	$300,000
Reef McInnes	DEF	$285,000
Jakob Ryan	DEF	$230,000
Joel Cochran	DEF	$230,000
Tew Jiath	DEF	$230,000
Charlie West	FWD	$230,000
Jai Saxena	FWD	$230,000
Noah Howes	FWD	$230,000
Angus Anderson	MID/FWD	$230,000
Harry DeMattia	MID	$230,000
Samuel Swadling	MID	$230,000
Tyan Prindable	MID	$230,000
Iliro Smit	RUC	$230,000
Alex Condon	RUC	$230,000
Oscar Steene	RUC/FWD	$230,000
Zac McCarthy	RUC/FWD	$230,000
Harrison Coe	RUC	$230,000
Liam Puncher	DEF	$230,000
Mitch Podhajski	FWD	$230,000
BOMBERS		
Jye Caldwell	MID	$1,087,000
Zachary Merrett	MID	$1,078,000
Nic Martin	MID/FWD	$1,022,000
Archie Roberts	DEF	$901,000
Mason Redman	DEF	$900,000
Brayden Fiorini	MID	$900,000
Xavier Duursma	MID	$826,000
Sam Durham	MID/FWD	$822,000
Zach Reid	DEF	$791,000
Andrew McGrath	DEF	$786,000
Peter Wright	FWD/RUC	$776,000
Darcy Parish	MID	$759,000
Kyle Langford	FWD/MID/DEF	$718,000
Jordan Ridley	DEF	$663,000
Jaxon Prior	DEF	$655,000
Angus Clarke	DEF/MID	$653,000
Nick Bryan	RUC	$614,000
Archie Perkins	FWD	$597,000
