MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20261001,Shaun Mannagh,Geelong,3.3,2.4,15.2,10.4,31.2,11.89,3.2,28.9,6.3,26.7,10,129,129,2.56,57,86,19,11,30,73.3,672,334,7,5,0,18,0,8,6,6,5,11,1,6,0,0,0,2,2,0,0,0,6,5,0,15.5,14.5,3,14,0
20261001,Bailey Smith,Geelong,11.3,4.9,6.2,5.7,28.1,14.55,6,15.4,8.1,13.4,7,154,157,2.36,41,86,21,13,34,70.6,730,391,9,6,11,24,1,12,6,6,3,18,6,3,1,1,84,7,4,0,0,0,3,2,0,6.7,5.3,0,12,5
20261001,Charlie Cameron,Brisbane,1.3,14.5,3.6,2.7,22.2,8.48,3.2,16,7,11.6,1,82,77,0.01,0,76,12,2,14,57.1,288,81,4,2,2,10,0,6,4,5,4,2,2,3,0,0,0,1,1,0,0,0,4,3,0,8.2,9.8,0,8,3
20261001,Tom Stewart,Geelong,6.8,5.5,2,5.2,19.5,9.82,0.2,20.2,13.5,6.6,7,128,95,0.68,2,83,21,7,28,89.3,557,326,2,8,1,9,2,11,8,10,7,4,17,7,7,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1
20261001,Cam Rayner,Brisbane,8,2.5,4.3,2.8,17.6,9.96,1.3,11.6,7.2,7.2,0,85,71,0,0,73,10,7,17,64.7,455,130,6,2,3,16,0,9,8,7,7,6,4,2,1,0,22,1,2,0,0,0,4,1,3,11,-2,1,6,1
20261001,Harris Andrews,Brisbane,4.6,4.6,4.9,2,16.2,11.28,0.7,14.8,6.1,4.5,0,81,50,0,0,97,6,6,12,91.7,204,158,2,2,1,9,0,6,3,5,3,3,5,5,1,1,0,1,1,0,0,0,1,0,0,2.6,-2.6,0,1,1
20261001,Darcy Fort,Brisbane,6,1.6,2.3,5.2,15.1,10.35,1.9,10.6,6.9,1.1,0,61,68,0,0,58,9,7,16,50,359,90,5,6,2,7,0,10,6,6,4,5,4,1,1,1,41,3,3,41,17,2,0,0,0,0,0,0,2,2
20261001,Lawson Humphries,Geelong,3.4,4.4,0.6,6.7,15.1,8.73,1.4,12.9,6.2,8.3,0,87,75,0.01,0,81,16,6,22,81.8,528,294,4,2,1,8,2,3,2,3,2,6,8,3,1,0,0,2,0,0,0,0,1,0,1,2.1,-1.1,0,8,3
20261001,Tom Atkins,Geelong,5.5,3.4,0.9,5.2,15,11.45,5.6,7.7,6.8,6.1,0,96,90,0.02,0,81,8,18,26,88.5,172,453,2,2,6,22,0,9,9,4,4,11,5,3,0,0,31,4,4,0,0,0,0,0,0,0,0,0,5,1
20261001,Jeremy Cameron,Geelong,1.8,-0.6,6.5,7.1,14.8,11.29,1.6,10.8,3.6,5.6,0,104,86,0.03,0,78,12,4,16,75,420,41,3,2,1,4,0,5,1,3,1,4,1,5,0,0,0,1,1,0,0,0,6,3,3,19,2,1,8,0
20261001,Darcy Wilmot,Brisbane,4.2,3.4,3.7,3,14.3,10.76,4,6.9,6.9,6.7,0,119,110,0.02,0,84,22,8,30,86.7,518,327,2,6,3,13,5,7,6,3,2,9,7,7,2,0,0,4,2,0,0,0,0,0,0,0,0,0,2,1
20261001,Max Holmes,Geelong,9.8,1,3.2,-0.2,13.8,14.35,4.9,5.2,4.8,6.2,0,108,91,0.04,0,78,12,14,26,76.9,547,305,4,5,3,11,2,9,8,2,2,7,1,6,0,0,38,5,5,0,0,0,0,0,0,0,0,0,6,3
20261001,Shannon Neale,Geelong,2.6,4.2,4.7,2.1,13.6,9.17,2,8.4,6.2,3.7,2,102,88,0.04,0,87,9,7,16,75,316,146,3,2,1,12,0,8,4,6,2,2,1,7,0,1,22,2,1,24,6,2,4,2,2,13,1,3,11,2
20261001,Lachie Neale,Brisbane,1.1,0.9,5,5.3,12.2,14.34,2,8.3,6.3,4,0,93,85,0.02,0,77,15,13,28,71.4,370,237,5,4,1,13,0,10,8,3,3,10,4,3,2,0,62,5,7,0,0,0,0,0,0,0,0,0,5,1
20261001,Sam Draper,Brisbane,0.1,3.8,5.2,2.9,12,11.03,4.7,3,5.9,0.1,0,85,76,0,0,75,10,3,13,53.8,249,78,4,2,0,4,0,8,1,6,1,3,1,3,0,0,59,2,5,50,24,7,2,1,1,10.9,-3.9,2,7,2
20261001,Oisin Mullin,Geelong,0.4,2.7,3.6,4.6,11.2,7.28,1.3,4.5,5.9,0.4,2,105,89,0.03,0,78,5,12,17,70.6,144,363,3,1,9,20,0,7,6,3,2,8,2,3,0,0,69,2,3,0,0,0,3,1,2,11.6,-3.6,1,7,1
20261001,Oliver Dempsey,Geelong,3.8,1.3,2.8,3.1,11,10.17,1.5,5.8,4.4,2.7,0,75,73,0,0,91,8,11,19,68.4,294,165,3,1,4,10,0,6,5,4,4,8,2,3,0,0,0,2,3,0,0,0,2,0,2,4.2,-2.2,0,8,1
20261001,Josh Dunkley,Brisbane,5.2,3,1.9,0.8,10.8,10.6,4.5,1.5,7.4,-1.1,0,80,77,0,0,77,11,11,22,63.6,128,252,3,4,5,17,0,12,10,4,4,5,0,1,0,0,56,7,5,0,0,0,1,0,0,2,-2,0,3,3
20261001,Zac Bailey,Brisbane,3.2,4.9,0.3,2.2,10.5,12.52,3.7,4.7,4.5,4,0,52,77,0,0,82,13,5,18,44.4,340,95,2,6,3,18,0,8,6,2,2,6,0,4,0,0,28,3,5,0,0,0,2,1,0,6.7,-0.7,1,4,0
20261001,Bruce Reville,Brisbane,3.1,5,2,0.2,10.3,8.27,2,4.9,4,3.2,0,74,60,0,0,87,10,7,17,70.6,365,211,2,6,4,11,5,6,6,4,4,7,6,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,2
20261001,Levi Ashcroft,Brisbane,0.7,3.7,0.8,5,10.2,8.25,2.8,7.2,5.1,5,1,87,104,0.01,0,82,17,11,28,64.3,439,406,1,6,2,7,0,6,4,3,2,11,5,5,0,0,0,2,2,0,0,0,1,1,0,2.7,3.3,1,6,1
20261001,Ryan Lester,Brisbane,4.6,0.2,2.7,2.5,10,10.19,1.7,5.4,2.6,0.6,0,75,63,0,0,90,5,9,14,85.7,210,250,3,2,3,21,0,5,5,4,4,0,4,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0
20261001,Keidean Coleman,Brisbane,1.7,4.6,1,1.4,8.7,10.37,0,10.8,2.6,7.7,0,82,55,0,0,78,12,6,18,88.9,478,236,5,3,1,5,3,4,4,4,4,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
20261001,Oliver Henry,Geelong,1,5.3,-0.4,2.6,8.5,6.49,-0.2,8.6,5.5,6,0,70,74,0.01,0,76,11,3,14,71.4,325,181,4,1,1,12,0,5,3,5,3,2,0,6,0,1,0,0,0,0,0,0,3,2,1,12,1,2,10,0
20261001,Sam De Koning,Geelong,0.9,3.6,1.5,1.8,7.8,7.84,-0.3,7.8,4.6,0.3,0,55,40,0,0,82,4,7,11,81.8,72,212,0,1,1,5,0,6,4,6,4,2,7,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,2,1
20261001,Mitchell Edwards,Geelong,-0.2,0.9,5.4,1.2,7.4,7.1,4.7,1,4,1.7,0,46,57,0,0,69,4,9,13,76.9,124,81,4,1,2,15,0,6,4,2,2,5,2,0,0,0,75,2,3,50,24,5,0,0,0,0,0,0,5,3
20261001,Tanner Bruhn,Geelong,3.3,2.7,0.9,0.2,7.1,8.22,2.3,1.7,6,-0.4,0,88,91,0.13,0,69,16,13,29,58.6,611,306,8,7,2,11,1,10,10,4,4,13,4,4,0,0,69,2,4,0,0,0,2,0,0,3.8,-3.8,0,8,4
20261001,Conor McKenna,Brisbane,-0.7,4.3,-1.5,4.7,6.8,6.64,0,4.9,2.5,3.3,0,57,57,0,0,76,11,0,11,72.7,347,93,3,2,3,11,0,3,1,3,1,4,1,3,0,0,0,0,0,0,0,0,2,1,1,6.8,0.2,0,3,0
20261001,Brad Close,Geelong,4.9,0.5,0.1,1,6.5,8.18,-1.1,5.5,1.9,4.6,0,45,54,0,0,73,5,3,8,62.5,137,24,1,1,6,17,0,1,1,1,1,6,0,1,0,0,0,0,0,0,0,0,1,1,0,3.4,2.6,0,4,0
20261001,Darcy Gardiner,Brisbane,2.3,-2,0.8,5.2,6.3,6.54,1.2,6.8,6.1,0.3,0,49,35,0,0,83,7,4,11,90.9,192,85,0,4,0,13,0,4,3,3,3,4,6,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
20261001,Connor O'Sullivan,Geelong,-0.2,2.8,1.9,0.9,5.4,8.74,0,4.6,6.1,-1.1,0,45,46,0,0,96,7,8,15,53.3,283,154,0,2,2,7,0,9,8,8,7,2,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3
20261001,Zach Guthrie,Geelong,0,1.6,0.6,3.1,5.3,8.65,0,3,2.4,-0.7,0,71,65,0,0,78,13,3,16,81.3,351,110,1,3,2,11,1,1,1,1,1,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
20261001,Mark O'Connor,Geelong,0.3,1.3,1.5,2.1,5.2,7.3,0,3.3,0.8,2.4,0,48,38,0,0,82,5,5,10,90,117,172,0,1,3,7,0,2,2,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20261001,Will Ashcroft,Brisbane,0.6,0.8,2.3,1.4,5.1,11.17,1.8,0.3,4,-0.5,0,76,74,0.01,0,83,14,10,24,79.2,437,166,5,5,1,10,0,8,4,3,2,9,2,2,0,0,69,4,5,0,0,0,1,0,0,2.1,-2.1,0,4,2
20261001,Gryan Miers,Geelong,1.5,1.4,1.9,0.1,4.9,10.71,1.4,4.2,3.1,3,0,55,54,0,0,74,10,6,16,81.3,181,302,1,1,1,8,0,5,3,3,2,8,1,3,0,0,0,1,2,0,0,0,1,0,0,2.2,-2.2,1,6,1
20261001,Cody Curtin,Brisbane,2.6,-0.5,2.3,0.3,4.7,4.3,1.8,2.2,2.5,1.5,0,36,29,0,0,67,1,5,6,83.3,39,118,0,0,2,10,0,2,1,0,0,3,0,1,0,0,0,0,2,5,2,2,1,1,0,6,0,0,2,0
20261001,Mark Blicavs,Geelong,1.6,-1.2,0.9,3.1,4.3,9.37,1.2,1,3.7,-0.9,0,44,39,0,0,79,5,5,10,80,112,51,1,3,2,18,0,4,1,3,1,6,4,2,1,1,0,1,1,22,5,1,0,0,0,0,0,0,2,1
20261001,Hugh McCluggage,Brisbane,-1,3.7,1.4,0,4,12.06,-2,1.5,6.3,-4.7,0,57,52,0,0,81,8,8,16,50,164,217,1,2,2,22,0,10,6,3,2,7,1,2,0,0,62,4,5,0,0,0,1,0,0,2.8,-2.8,1,3,0
20261001,Sam Marshall,Brisbane,0.5,3.5,-0.9,0.6,3.7,6.28,0,2.7,1.9,2.3,0,41,34,0,0,71,5,7,12,83.3,125,104,0,1,1,11,0,3,2,2,1,6,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
20261001,Kai Lohmann,Brisbane,1.8,-1.9,1.1,2.3,3.3,8.85,-1.3,3.4,4.9,-1.2,0,44,54,0,0,77,9,5,14,57.1,187,67,2,3,3,16,0,6,4,5,4,4,1,3,0,0,0,1,1,0,0,0,3,0,1,7.1,-6.1,0,3,0
20261001,James Tunstill,Brisbane,2.6,1,-1.2,0.6,2.9,6.87,-0.1,1.6,2.9,-1.6,0,34,29,0,0,69,4,5,9,55.6,137,50,0,3,1,19,0,4,4,3,3,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20261001,Jaspa Fletcher,Brisbane,0.3,1.2,-1.4,2.4,2.4,9.15,0.5,0.8,2.9,0.4,0,38,48,0,0,81,6,12,18,72.2,221,110,1,3,2,13,2,4,4,3,3,9,2,1,0,0,0,1,1,0,0,0,1,0,1,3,-2,0,2,0
20261001,Patrick Dangerfield,Geelong,-0.5,1.4,0.7,-0.4,1.3,9.54,0,-3,5.5,-1.5,0,41,42,0.01,0,64,7,9,16,56.3,220,113,2,4,1,10,0,9,8,5,4,4,0,2,0,0,9,1,1,0,0,0,4,1,1,11.7,-4.7,0,6,0
20261001,Jack Martin,Geelong,-0.3,1.4,0.2,0,1.3,7.03,0,-0.3,0,0.7,0,36,39,0,0,48,4,3,7,71.4,133,104,2,2,3,8,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,1.5,-1.5,1,3,0
20261001,Jack Henry,Geelong,0.6,0.1,-0.1,0.3,1,8.18,0,0.9,2.2,0.6,0,22,15,0,0,80,1,4,5,80,44,92,2,2,1,5,0,2,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20261001,Logan Morris,Brisbane,-1.8,1.6,-1.5,-0.6,-2.3,8.72,0,-4.7,4.2,-6.2,0,57,74,0,0,75,9,4,13,61.5,144,190,0,2,0,6,0,2,0,2,0,2,0,8,0,1,0,0,0,0,0,0,6,2,2,25,-11,1,7,0
20261002,Nick Blakey,Sydney,5.2,8.7,11,2.2,27.1,13.82,2.3,15.3,6.7,12.3,8,156,146,1.96,33,82,25,14,39,82.1,902,414,8,4,2,9,8,7,5,5,3,11,7,10,2,0,0,3,1,0,0,0,1,1,0,2.6,3.4,0,4,1
20261002,Brodie Grundy,Sydney,9.2,3,4.9,5.8,22.9,14.8,14.4,4.5,13.1,1.7,10,203,161,2.31,47,84,13,21,34,58.8,307,280,4,7,4,14,0,24,10,5,4,3,4,5,0,0,83,12,19,79,46,17,2,1,1,5.9,1.1,0,6,6
20261002,Isaac Heeney,Sydney,3.6,2.3,8.5,5.5,19.9,16.21,8.8,7.7,11.8,7.7,4,99,98,0.97,12,80,17,15,32,62.5,498,432,6,8,1,17,0,20,11,7,5,10,4,2,0,1,79,11,9,0,0,0,4,1,1,10.3,-3.3,0,9,1
20261002,Justin McInerney,Sydney,3.2,4.2,2.9,5.3,15.8,11.07,3.1,5.7,11.4,-2.6,1,137,110,0.35,4,87,12,19,31,64.5,411,159,5,2,2,14,0,14,9,6,5,11,5,6,2,0,83,4,3,0,0,0,3,1,2,9.6,-1.6,0,5,0
20261002,Nick Daicos,Collingwood,11.2,-1,4.7,0.6,15.5,15.36,0.7,9,6.6,4.2,5,93,102,0.3,3,90,13,15,28,60.7,377,247,5,8,2,18,0,6,5,4,3,16,3,4,1,1,46,2,2,0,0,0,5,2,0,12.3,-0.3,1,7,2
20261002,Jai Serong,Sydney,2.5,8.8,0.6,2.5,14.5,8.47,4.2,8.5,4.6,8.7,0,76,79,0,0,86,12,8,20,80,363,322,2,4,0,16,0,6,5,4,3,7,2,8,0,1,0,2,0,0,0,0,1,1,0,3.4,2.6,1,5,2
20261002,Chad Warner,Sydney,2.2,2.2,7.6,2,14,12.86,3,9,6.6,7.3,0,85,83,0.06,0,83,20,3,23,43.5,611,168,6,4,1,14,0,9,6,5,4,9,4,3,0,0,42,4,3,0,0,0,6,1,3,12.8,-3.8,0,9,1
20261002,Brayden Maynard,Collingwood,3.2,5.5,2.6,2.4,13.6,9.9,0.4,9.9,5.7,0.9,0,96,86,0,0,84,14,4,18,72.2,520,192,2,3,7,11,3,5,4,4,4,5,7,3,1,0,0,1,0,0,0,0,1,0,0,1.8,-1.8,0,4,1
20261002,Jordan De Goey,Collingwood,4.4,2,0.4,6.4,13.2,9.72,4.1,5.6,7.4,4.9,0,98,86,0.02,0,78,18,11,29,69,501,363,4,6,2,11,0,11,7,4,3,12,3,2,0,0,96,6,8,0,0,0,0,0,0,0,0,1,7,1
20261002,Logan McDonald,Sydney,1.5,2.8,4.3,4.3,12.9,5.89,3.6,6.5,4.2,5.7,0,66,42,0,0,56,5,3,8,62.5,123,28,2,2,0,7,0,5,4,4,3,1,1,2,0,0,0,1,1,6,3,0,2,2,0,7.7,4.3,0,2,1
20261002,Roan Steele,Collingwood,0.6,1.8,2.9,7.6,12.8,7.14,2.3,8.1,4.9,5.6,0,89,71,0,0,93,12,7,19,68.4,408,191,2,3,1,12,0,7,5,4,2,7,4,3,0,0,0,2,3,0,0,0,2,1,1,6.7,0.3,0,6,2
